split,image,depth,label
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411011427854.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411011427854.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411011427854.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/chengxiang_IMG_0006_20240731025633013.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/chengxiang_IMG_0006_20240731025633013.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/chengxiang_IMG_0006_20240731025633013.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/jinjiang_IMG_0019_20240711202859258.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/jinjiang_IMG_0019_20240711202859258.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/jinjiang_IMG_0019_20240711202859258.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410154300295.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410154300295.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410154300295.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410234203779.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410234203779.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410234203779.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005713030.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005713030.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005713030.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410144522266.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410144522266.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410144522266.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010858162.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010858162.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010858162.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010524248.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010524248.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010524248.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/CXJG2_IMG_0062_20241109072145879.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/CXJG2_IMG_0062_20241109072145879.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/CXJG2_IMG_0062_20241109072145879.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0002_20240706154426706.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0002_20240706154426706.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0002_20240706154426706.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/putian_IMG_0090_20241030165315143.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/putian_IMG_0090_20241030165315143.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/putian_IMG_0090_20241030165315143.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010401212.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010401212.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010401212.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0003_20240706155405561.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0003_20240706155405561.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0003_20240706155405561.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410192212738.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410192212738.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410192212738.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/putian_IMG_0091_20241104011355241.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/putian_IMG_0091_20241104011355241.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/putian_IMG_0091_20241104011355241.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410172122591.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410172122591.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410172122591.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0005_20240706133704588.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0005_20240706133704588.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0005_20240706133704588.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010819587.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010819587.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010819587.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005847586.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005847586.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005847586.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411011420164.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411011420164.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411011420164.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/putian_IMG_0031_20241104235034891.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/putian_IMG_0031_20241104235034891.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/putian_IMG_0031_20241104235034891.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010751497.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010751497.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010751497.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010803484.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010803484.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010803484.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411011419584.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411011419584.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411011419584.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0055_20240706134133927.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0055_20240706134133927.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0055_20240706134133927.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005803650.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005803650.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005803650.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/chengxiang_IMG_0002_20240731011605554.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/chengxiang_IMG_0002_20240731011605554.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/chengxiang_IMG_0002_20240731011605554.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005418919.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005418919.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005418919.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005815345.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005815345.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005815345.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010537131.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010537131.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010537131.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/CXJG2_IMG_0102_20241109025755245.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/CXJG2_IMG_0102_20241109025755245.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/CXJG2_IMG_0102_20241109025755245.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410155416930.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410155416930.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410155416930.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410144432233.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410144432233.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410144432233.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0017_20240706000703323.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0017_20240706000703323.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0017_20240706000703323.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005454605.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005454605.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005454605.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005511797.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005511797.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005511797.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010042802.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010042802.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010042802.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/chengxiang_IMG_0006_20240731044753562.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/chengxiang_IMG_0006_20240731044753562.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/chengxiang_IMG_0006_20240731044753562.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410234244791.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410234244791.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410234244791.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010554861.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010554861.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010554861.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410170921612.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410170921612.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410170921612.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410185003274.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410185003274.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410185003274.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/chengxiang_IMG_0057_20240731040118512.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/chengxiang_IMG_0057_20240731040118512.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/chengxiang_IMG_0057_20240731040118512.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0059_20240706000846938.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0059_20240706000846938.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0059_20240706000846938.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010619074.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010619074.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010619074.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/chengxiang_IMG_0062_20240731011812725.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/chengxiang_IMG_0062_20240731011812725.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/chengxiang_IMG_0062_20240731011812725.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0036_20240705233553585.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0036_20240705233553585.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0036_20240705233553585.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0002_20240706210448626.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0002_20240706210448626.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0002_20240706210448626.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0020_20240706135930065.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0020_20240706135930065.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0020_20240706135930065.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010851228.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010851228.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010851228.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010619383.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010619383.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010619383.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/jinjiang_IMG_0056_20240712014617019.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/jinjiang_IMG_0056_20240712014617019.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/jinjiang_IMG_0056_20240712014617019.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410233939264.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410233939264.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410233939264.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411010045889.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411010045889.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411010045889.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005823454.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005823454.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005823454.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005557514.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005557514.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005557514.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/dongyuan_IMG_0016_20240706135345701.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/dongyuan_IMG_0016_20240706135345701.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/dongyuan_IMG_0016_20240706135345701.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410233813745.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410233813745.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410233813745.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240411005833999.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240411005833999.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240411005833999.txt
train,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/train/baotou_IMG__20240410143616675.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/train/baotou_IMG__20240410143616675.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/train/baotou_IMG__20240410143616675.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0061_20240706135934419.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0061_20240706135934419.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0061_20240706135934419.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/chengxiang_IMG_0009_20240731034548673.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/chengxiang_IMG_0009_20240731034548673.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/chengxiang_IMG_0009_20240731034548673.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/baotou_IMG_0017_20240629171218610.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/baotou_IMG_0017_20240629171218610.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/baotou_IMG_0017_20240629171218610.txt
val,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/images/val/dongyuan_IMG_0071_20240706135609067.jpg,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/depth/val/dongyuan_IMG_0071_20240706135609067.png,/workspace/ultralytics-main_for_genye/examples/quick_start/dataset/labels/val/dongyuan_IMG_0071_20240706135609067.txt
